image_path,label,target,Imagenes
non_autistic\0966.jpg,non_autistic,1,"[[[0.5254902  0.7254902  0.70980392]
  [0.5254902  0.7254902  0.70980392]
  [0.52941176 0.72941176 0.70196078]
  ...
  [0.50196078 0.69019608 0.70588235]
  [0.50196078 0.68627451 0.70196078]
  [0.49803922 0.68235294 0.69803922]]

 [[0.52941176 0.72941176 0.71372549]
  [0.5254902  0.7254902  0.70980392]
  [0.52941176 0.72941176 0.70196078]
  ...
  [0.49803922 0.68627451 0.70196078]
  [0.49803922 0.68235294 0.69803922]
  [0.49803922 0.68235294 0.69803922]]

 [[0.52941176 0.72941176 0.71372549]
  [0.52941176 0.72941176 0.71372549]
  [0.52941176 0.72941176 0.70196078]
  ...
  [0.49019608 0.69019608 0.69803922]
  [0.49411765 0.68627451 0.69411765]
  [0.49411765 0.68627451 0.69411765]]

 ...

 [[0.89019608 0.69411765 0.00392157]
  [0.88627451 0.69019608 0.        ]
  [0.88235294 0.68627451 0.00392157]
  ...
  [0.97254902 0.91764706 0.96078431]
  [0.94901961 0.90196078 0.94901961]
  [0.90980392 0.87058824 0.91764706]]

 [[0.89411765 0.69411765 0.01176471]
  [0.89019608 0.69019608 0.00784314]
  [0.88627451 0.69019608 0.00784314]
  ...
  [0.92941176 0.87058824 0.88627451]
  [0.9372549  0.88235294 0.90588235]
  [0.95686275 0.90980392 0.93333333]]

 [[0.89411765 0.69411765 0.01176471]
  [0.89019608 0.69019608 0.00784314]
  [0.88627451 0.69019608 0.00784314]
  ...
  [0.96078431 0.89803922 0.90196078]
  [0.90196078 0.84705882 0.85490196]
  [0.94509804 0.89411765 0.90196078]]]"
non_autistic\1441.jpg,non_autistic,1,"[[[0.46666667 0.4627451  0.42352941]
  [0.47058824 0.46666667 0.42745098]
  [0.4745098  0.47058824 0.43137255]
  ...
  [0.23137255 0.23529412 0.2       ]
  [0.22745098 0.23137255 0.19607843]
  [0.22352941 0.22745098 0.19215686]]

 [[0.46666667 0.4627451  0.42352941]
  [0.47058824 0.46666667 0.42745098]
  [0.4745098  0.47058824 0.43137255]
  ...
  [0.23137255 0.23529412 0.2       ]
  [0.22745098 0.23137255 0.19607843]
  [0.22352941 0.22745098 0.19215686]]

 [[0.47058824 0.46666667 0.42745098]
  [0.4745098  0.47058824 0.43137255]
  [0.47843137 0.4745098  0.43529412]
  ...
  [0.24313725 0.23529412 0.20392157]
  [0.23921569 0.23137255 0.2       ]
  [0.23921569 0.23137255 0.2       ]]

 ...

 [[0.57254902 0.56862745 0.51372549]
  [0.58039216 0.57647059 0.52156863]
  [0.58431373 0.57647059 0.53333333]
  ...
  [0.4627451  0.45882353 0.41960784]
  [0.4627451  0.45882353 0.41960784]
  [0.4627451  0.45882353 0.41960784]]

 [[0.57254902 0.56862745 0.51372549]
  [0.58039216 0.57647059 0.52156863]
  [0.58039216 0.57254902 0.52941176]
  ...
  [0.4627451  0.45882353 0.41960784]
  [0.4627451  0.45882353 0.41960784]
  [0.45882353 0.45490196 0.41568627]]

 [[0.57647059 0.57254902 0.51764706]
  [0.57647059 0.57254902 0.51764706]
  [0.58039216 0.57254902 0.52941176]
  ...
  [0.4627451  0.45882353 0.41960784]
  [0.4627451  0.45882353 0.41960784]
  [0.45882353 0.45490196 0.41568627]]]"
non_autistic\0852.jpg,non_autistic,1,"[[[0.30980392 0.37254902 0.42352941]
  [0.30980392 0.37254902 0.42352941]
  [0.3254902  0.37647059 0.43137255]
  ...
  [0.49411765 0.56078431 0.59607843]
  [0.49803922 0.56862745 0.59607843]
  [0.50196078 0.57254902 0.6       ]]

 [[0.31372549 0.37647059 0.42745098]
  [0.30588235 0.36862745 0.41960784]
  [0.31764706 0.36862745 0.42352941]
  ...
  [0.49803922 0.56470588 0.6       ]
  [0.49803922 0.56862745 0.59607843]
  [0.50196078 0.57254902 0.6       ]]

 [[0.31372549 0.37647059 0.42745098]
  [0.29803922 0.36078431 0.41176471]
  [0.30196078 0.35686275 0.40392157]
  ...
  [0.49803922 0.56470588 0.6       ]
  [0.49803922 0.56862745 0.59607843]
  [0.50196078 0.57254902 0.6       ]]

 ...

 [[0.39215686 0.4627451  0.49019608]
  [0.39607843 0.46666667 0.49411765]
  [0.39607843 0.46666667 0.49411765]
  ...
  [0.47843137 0.55294118 0.56470588]
  [0.47843137 0.55294118 0.57254902]
  [0.4745098  0.54901961 0.56862745]]

 [[0.39215686 0.4627451  0.49019608]
  [0.39607843 0.46666667 0.49411765]
  [0.39607843 0.46666667 0.49411765]
  ...
  [0.48627451 0.55294118 0.56470588]
  [0.47843137 0.55294118 0.56470588]
  [0.48235294 0.55686275 0.56862745]]

 [[0.39215686 0.4627451  0.49019608]
  [0.39607843 0.46666667 0.49411765]
  [0.4        0.47058824 0.49803922]
  ...
  [0.48627451 0.55294118 0.56470588]
  [0.48235294 0.55686275 0.56862745]
  [0.48627451 0.56078431 0.57254902]]]"
autistic\0994.jpg,autistic,0,"[[[0.92156863 0.78823529 0.69803922]
  [0.89803922 0.76862745 0.69019608]
  [0.85490196 0.74117647 0.68235294]
  ...
  [1.         0.85490196 0.69019608]
  [0.99215686 0.85490196 0.68627451]
  [0.99215686 0.85490196 0.68627451]]

 [[0.94117647 0.79607843 0.70980392]
  [0.91764706 0.78039216 0.70196078]
  [0.8745098  0.75686275 0.69019608]
  ...
  [1.         0.85098039 0.68627451]
  [0.99215686 0.85490196 0.68627451]
  [0.99215686 0.85490196 0.68627451]]

 [[0.96470588 0.80392157 0.71372549]
  [0.9372549  0.78431373 0.69803922]
  [0.89411765 0.76470588 0.69019608]
  ...
  [0.99215686 0.85098039 0.69411765]
  [0.99215686 0.85098039 0.69411765]
  [0.99215686 0.85098039 0.69411765]]

 ...

 [[0.85490196 0.37254902 0.        ]
  [0.87058824 0.37647059 0.00784314]
  [0.8745098  0.38039216 0.01176471]
  ...
  [0.83921569 0.89019608 0.92156863]
  [0.83921569 0.89019608 0.92156863]
  [0.83921569 0.89019608 0.92156863]]

 [[0.91372549 0.41176471 0.01176471]
  [0.90980392 0.41568627 0.01568627]
  [0.91372549 0.41960784 0.01960784]
  ...
  [0.82745098 0.87843137 0.90980392]
  [0.82745098 0.87843137 0.90980392]
  [0.82745098 0.87843137 0.90980392]]

 [[0.94117647 0.43921569 0.02745098]
  [0.92941176 0.43137255 0.01960784]
  [0.91372549 0.42352941 0.01176471]
  ...
  [0.83529412 0.88627451 0.91764706]
  [0.83529412 0.88627451 0.91764706]
  [0.83137255 0.88235294 0.91372549]]]"
non_autistic\0022.jpg,non_autistic,1,"[[[0.32156863 0.36862745 0.41568627]
  [0.18431373 0.23921569 0.28627451]
  [0.27843137 0.32941176 0.38431373]
  ...
  [0.51372549 0.63921569 0.71372549]
  [0.50980392 0.63921569 0.70196078]
  [0.49411765 0.62745098 0.69019608]]

 [[0.24705882 0.29019608 0.34509804]
  [0.28235294 0.33333333 0.38823529]
  [0.35294118 0.41176471 0.4745098 ]
  ...
  [0.50196078 0.61960784 0.69411765]
  [0.49803922 0.62745098 0.69019608]
  [0.50980392 0.64313725 0.70588235]]

 [[0.30196078 0.35294118 0.41568627]
  [0.3372549  0.39607843 0.45882353]
  [0.39607843 0.45098039 0.52156863]
  ...
  [0.47843137 0.59607843 0.67058824]
  [0.48235294 0.6        0.66666667]
  [0.49411765 0.62352941 0.68627451]]

 ...

 [[0.82352941 0.69411765 0.14509804]
  [0.78823529 0.6627451  0.15294118]
  [0.76078431 0.63137255 0.20392157]
  ...
  [0.8        0.55686275 0.        ]
  [0.80392157 0.56078431 0.00392157]
  [0.80392157 0.56078431 0.00392157]]

 [[0.83921569 0.70196078 0.08627451]
  [0.82745098 0.68627451 0.10588235]
  [0.81568627 0.65882353 0.15294118]
  ...
  [0.8        0.55686275 0.        ]
  [0.80392157 0.56078431 0.01176471]
  [0.8        0.56078431 0.01176471]]

 [[0.87843137 0.73333333 0.09019608]
  [0.85882353 0.70196078 0.09019608]
  [0.84313725 0.6745098  0.12156863]
  ...
  [0.80392157 0.56078431 0.00392157]
  [0.8        0.56078431 0.01176471]
  [0.8        0.56078431 0.01176471]]]"
autistic\0532.jpg,autistic,0,"[[[0.12156863 0.65098039 0.65882353]
  [0.11372549 0.65882353 0.67058824]
  [0.05882353 0.62352941 0.66666667]
  ...
  [0.38039216 0.17647059 0.05882353]
  [0.38039216 0.17647059 0.05882353]
  [0.38039216 0.17647059 0.05882353]]

 [[0.07843137 0.58823529 0.58431373]
  [0.10196078 0.62352941 0.63529412]
  [0.07843137 0.63529412 0.6627451 ]
  ...
  [0.38431373 0.18039216 0.0627451 ]
  [0.38431373 0.18039216 0.0627451 ]
  [0.38431373 0.18039216 0.0627451 ]]

 [[0.02352941 0.49019608 0.45882353]
  [0.09411765 0.58823529 0.56862745]
  [0.11372549 0.64313725 0.65098039]
  ...
  [0.38823529 0.18431373 0.06666667]
  [0.38823529 0.18431373 0.06666667]
  [0.39215686 0.18823529 0.07058824]]

 ...

 [[0.50196078 0.41568627 0.31764706]
  [0.48235294 0.40392157 0.30588235]
  [0.48235294 0.4        0.31372549]
  ...
  [0.29411765 0.27058824 0.24313725]
  [0.38431373 0.34509804 0.31764706]
  [0.39215686 0.35686275 0.32156863]]

 [[0.56470588 0.47843137 0.38039216]
  [0.51764706 0.43921569 0.34117647]
  [0.49411765 0.41176471 0.3254902 ]
  ...
  [0.27843137 0.25490196 0.22745098]
  [0.39215686 0.35294118 0.3254902 ]
  [0.40784314 0.37254902 0.3372549 ]]

 [[0.62745098 0.54117647 0.44313725]
  [0.56078431 0.48235294 0.38431373]
  [0.51764706 0.43529412 0.34901961]
  ...
  [0.25882353 0.23529412 0.20784314]
  [0.38039216 0.34117647 0.31372549]
  [0.41568627 0.38039216 0.34509804]]]"
non_autistic\1129.jpg,non_autistic,1,"[[[0.71372549 0.80784314 0.87843137]
  [0.69803922 0.8        0.8627451 ]
  [0.68627451 0.8        0.85882353]
  ...
  [0.1254902  0.17254902 0.21960784]
  [0.10980392 0.15686275 0.20392157]
  [0.10196078 0.14901961 0.19607843]]

 [[0.72156863 0.81176471 0.8745098 ]
  [0.69803922 0.79607843 0.85882353]
  [0.69019608 0.79607843 0.85098039]
  ...
  [0.11764706 0.16470588 0.21176471]
  [0.10588235 0.15294118 0.2       ]
  [0.09411765 0.14117647 0.18823529]]

 [[0.70980392 0.79215686 0.85098039]
  [0.69411765 0.78823529 0.83529412]
  [0.69803922 0.79607843 0.83529412]
  ...
  [0.09803922 0.15294118 0.2       ]
  [0.08627451 0.14117647 0.18823529]
  [0.07843137 0.13333333 0.18039216]]

 ...

 [[0.81176471 0.68235294 0.90588235]
  [0.83137255 0.69803922 0.93333333]
  [0.84705882 0.71372549 0.95294118]
  ...
  [0.6745098  0.70980392 0.84313725]
  [0.65490196 0.69019608 0.83529412]
  [0.61568627 0.65098039 0.8       ]]

 [[0.83921569 0.72941176 0.96470588]
  [0.83137255 0.71764706 0.96470588]
  [0.82745098 0.70196078 0.95686275]
  ...
  [0.67843137 0.68627451 0.81960784]
  [0.64313725 0.65882353 0.79607843]
  [0.60784314 0.61960784 0.76862745]]

 [[0.81960784 0.71372549 0.96078431]
  [0.82352941 0.71764706 0.96470588]
  [0.82745098 0.70588235 0.96862745]
  ...
  [0.6627451  0.67058824 0.79215686]
  [0.63137255 0.63137255 0.77254902]
  [0.61176471 0.60784314 0.76078431]]]"
non_autistic\0314.jpg,non_autistic,1,"[[[0.17647059 0.18039216 0.16470588]
  [0.03529412 0.05098039 0.03137255]
  [0.0627451  0.07058824 0.07058824]
  ...
  [0.49019608 0.63529412 0.7372549 ]
  [0.49411765 0.65882353 0.80392157]
  [0.58431373 0.75686275 0.91764706]]

 [[0.19215686 0.19607843 0.18039216]
  [0.05882353 0.0627451  0.04705882]
  [0.06666667 0.0745098  0.0745098 ]
  ...
  [0.50196078 0.66666667 0.78039216]
  [0.50588235 0.69019608 0.83921569]
  [0.54509804 0.74117647 0.90588235]]

 [[0.2        0.19607843 0.18039216]
  [0.06666667 0.07058824 0.05490196]
  [0.05490196 0.0627451  0.0627451 ]
  ...
  [0.47058824 0.68235294 0.81176471]
  [0.48627451 0.71764706 0.8745098 ]
  [0.51372549 0.74509804 0.92156863]]

 ...

 [[0.4627451  0.45882353 0.41960784]
  [0.44313725 0.43921569 0.4       ]
  [0.43921569 0.43529412 0.39607843]
  ...
  [0.4745098  0.68627451 0.80784314]
  [0.45098039 0.6627451  0.78039216]
  [0.43137255 0.65098039 0.76470588]]

 [[0.44705882 0.44313725 0.40392157]
  [0.43921569 0.43529412 0.39607843]
  [0.43529412 0.43137255 0.39215686]
  ...
  [0.47843137 0.67843137 0.80392157]
  [0.45882353 0.6627451  0.78039216]
  [0.43921569 0.65098039 0.76862745]]

 [[0.43921569 0.43529412 0.39607843]
  [0.44705882 0.44313725 0.40392157]
  [0.45490196 0.45098039 0.41176471]
  ...
  [0.4627451  0.6627451  0.78823529]
  [0.45098039 0.65490196 0.77254902]
  [0.45490196 0.65882353 0.77647059]]]"
non_autistic\0109.jpg,non_autistic,1,"[[[0.         0.02745098 0.04313725]
  [0.         0.03137255 0.04705882]
  [0.00392157 0.03921569 0.05098039]
  ...
  [0.09019608 0.11764706 0.15294118]
  [0.07058824 0.09803922 0.13333333]
  [0.05098039 0.07843137 0.11372549]]

 [[0.00392157 0.03921569 0.05490196]
  [0.00392157 0.03921569 0.05490196]
  [0.00392157 0.03921569 0.05098039]
  ...
  [0.08235294 0.10980392 0.14509804]
  [0.07843137 0.10588235 0.14117647]
  [0.0627451  0.09019608 0.1254902 ]]

 [[0.01568627 0.05098039 0.06666667]
  [0.01176471 0.04705882 0.0627451 ]
  [0.01176471 0.04705882 0.05882353]
  ...
  [0.07058824 0.09803922 0.13333333]
  [0.08235294 0.10980392 0.14509804]
  [0.0745098  0.10196078 0.1372549 ]]

 ...

 [[0.07058824 0.09019608 0.10196078]
  [0.07843137 0.09803922 0.10980392]
  [0.09019608 0.10980392 0.12156863]
  ...
  [0.08627451 0.10588235 0.16470588]
  [0.09411765 0.11372549 0.17254902]
  [0.09019608 0.10980392 0.16862745]]

 [[0.06666667 0.08627451 0.09803922]
  [0.07843137 0.09803922 0.10980392]
  [0.09411765 0.11372549 0.1254902 ]
  ...
  [0.09803922 0.11764706 0.17647059]
  [0.10196078 0.12156863 0.18039216]
  [0.09411765 0.11372549 0.17254902]]

 [[0.06666667 0.08627451 0.09803922]
  [0.07843137 0.09803922 0.10980392]
  [0.09803922 0.11764706 0.12941176]
  ...
  [0.10196078 0.12156863 0.18039216]
  [0.10588235 0.1254902  0.18431373]
  [0.09019608 0.10980392 0.16862745]]]"
autistic\0968.jpg,autistic,0,"[[[0.94509804 0.69019608 0.00392157]
  [0.94509804 0.68627451 0.01176471]
  [0.95294118 0.6745098  0.03137255]
  ...
  [0.83921569 0.59215686 0.        ]
  [0.80784314 0.54901961 0.        ]
  [0.79215686 0.54117647 0.        ]]

 [[0.94117647 0.68627451 0.        ]
  [0.94117647 0.68235294 0.00784314]
  [0.94901961 0.67058824 0.02745098]
  ...
  [0.86666667 0.61568627 0.01176471]
  [0.82745098 0.57647059 0.        ]
  [0.80784314 0.56078431 0.        ]]

 [[0.93333333 0.68627451 0.        ]
  [0.94117647 0.68235294 0.00784314]
  [0.94509804 0.66666667 0.02352941]
  ...
  [0.89411765 0.64705882 0.02745098]
  [0.84705882 0.60392157 0.        ]
  [0.83137255 0.58431373 0.        ]]

 ...

 [[0.8745098  0.80392157 0.55686275]
  [0.87843137 0.80784314 0.56862745]
  [0.87843137 0.81176471 0.58823529]
  ...
  [0.75686275 0.79607843 0.91372549]
  [0.77254902 0.81960784 0.95294118]
  [0.77254902 0.82745098 0.96862745]]

 [[0.87843137 0.81176471 0.61960784]
  [0.88235294 0.81960784 0.63529412]
  [0.88627451 0.83137255 0.64313725]
  ...
  [0.75294118 0.79607843 0.92156863]
  [0.75686275 0.81176471 0.95294118]
  [0.76078431 0.82352941 0.96862745]]

 [[0.89803922 0.83529412 0.67058824]
  [0.89019608 0.83529412 0.67058824]
  [0.88235294 0.83529412 0.67058824]
  ...
  [0.70196078 0.75294118 0.87843137]
  [0.76470588 0.81568627 0.96470588]
  [0.77647059 0.83529412 0.98823529]]]"
